Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Parent,Parent summary,Status Category
Create a nav menu in accordance with the parent website.,CP2077-65,10065,Subtask,To Do,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,27/Mar/23 12:05 PM,27/Mar/23 12:06 PM,28/Mar/23 4:09 PM,,,0,FrontEnd,,"To perfectly match the parent website and to make sure that the user doesn’t feel any form of disconnection between this and the parent website, the app must replicate the exact same nav menu.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0004v:,Sprint 2,Sprint 3,,,,10035,"As a developer, I want to create a reusable Header component",To Do
Implement an input checkbox alongside or a notice that asks the user if agree with the privacy policy terms.,CP2077-64,10064,Task,DISCONTINUED,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Low,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,27/Mar/23 11:19 AM,28/Mar/23 4:09 PM,27/Mar/23 11:19 AM,,,0,Code,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i0000u:ws,Sprint 3,,,,,10009,Create Security Measures to handle sensitive data,In Progress
As a user I want a loading screen animation on the landing page that fowllows the theme and styling of the parent website,CP2077-63,10063,Story,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 1:11 PM,27/Mar/23 3:35 PM,27/Mar/23 9:53 AM,27/Mar/23 3:35 PM,,0,FrontEnd,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,CP2077-50,,,,,,,,"{build={count=1, dataType=build, failedBuildCount=0, successfulBuildCount=1, unknownBuildCount=0}, repository={count=2, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":2,""lastUpdated"":""2023-03-27T15:07:29.000+0200"",""dataType"":""repository""},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}},""build"":{""overall"":{""count"":1,""lastUpdated"":null,""failedBuildCount"":0,""successfulBuildCount"":1,""unknownBuildCount"":0,""dataType"":""build""},""byInstanceType"":{""cloud-providers"":{""count"":1,""name"":""Other providers""}}}}},""isStale"":true}}",,0|i00013:6,Sprint 3,,,,2.0,10014,FrontEnd Tasks,Done
Styling errors on mobile,CP2077-62,10062,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:28 PM,23/Mar/23 12:36 PM,23/Mar/23 1:05 PM,23/Mar/23 12:36 PM,,0,,,"h1. The form and carousel are breaking again on very narrow displays.

Fixed successfully: changing the width of the component dynamically via React using useEffect() to trigger the render of the carousel after the initial render in order to avoid the glitchy view. The form has been given a fixed view height value and percentage to make sure it’s always in the display.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,CP2077-54,,,,,{},,0|i00020:,Sprint 3,,,,,,,Done
NavMenu Hover Bug,CP2077-61,10061,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:27 PM,23/Mar/23 12:39 PM,23/Mar/23 12:37 PM,23/Mar/23 12:29 PM,,0,FrontEnd,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:1,Sprint 3,,,,,,,Done
NavMenu scroll bug,CP2077-60,10060,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:26 PM,23/Mar/23 12:41 PM,23/Mar/23 12:40 PM,23/Mar/23 12:29 PM,,0,,,"h1. The menu isn't on the page but on top of the page, making it scrollable

Reason: The position was set to relative.

Fix: Changed the menu to Position: fixed in order for it stay on screen regardless of scroll, just like the parent website.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:2,Sprint 3,,,,,,,Done
Transition,CP2077-59,10059,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:24 PM,23/Mar/23 12:41 PM,23/Mar/23 12:41 PM,23/Mar/23 12:29 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:4,Sprint 3,,,,,,,Done
Scrolling bug,CP2077-58,10058,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,High,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:24 PM,23/Mar/23 12:43 PM,23/Mar/23 12:42 PM,23/Mar/23 12:29 PM,,0,,,"When navigating between pages the scroll was automatic from the last page.

Reason: Due to the nature of React it wasn’t exactly a new page but a re-render.

Fix: Created a custom hook that scrolls back to the top on navigation.",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:9,Sprint 3,,,,,,,Done
The API requires a preimium subscription in order to also have the ability to send attatchments,CP2077-57,10057,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Low,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:23 PM,28/Mar/23 4:08 PM,23/Mar/23 12:35 PM,28/Mar/23 4:08 PM,,0,,,,,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00013:5o,Sprint 3,,,,,,,Done
Custom Inputs field components don't match the parent website styling,CP2077-56,10056,Bug,Done,CP2077,Solicitatie Project,software,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,Medium,Done,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,23/Mar/23 12:22 PM,23/Mar/23 12:45 PM,23/Mar/23 12:43 PM,23/Mar/23 12:29 PM,,0,,,"Custom Inputs field components that I made don't match the parent website styling

Reason: I couldn’t recreate the effect and animation myself

Fix: Modified MUI TextField components to match the design/",,Sheru Shafiq,63fa6fbe4e86f362d39c67f9,,,,,,,,,,,,,,,,,{},,0|i00022:i,Sprint 3,,,,,,,Done
